series_num,poem_num,stanza_num,line_num,token_num,pos_tuple,pos,token_str,term_str
1,5,3,0,20,"('forty', 'NN')",NN,forty,forty
1,5,3,1,0,"('Did', 'NNP')",NNP,Did,did
1,5,3,1,1,"('they', 'PRP')",PRP,they,they
1,5,3,1,2,"('come', 'VB')",VB,come,come
1,5,3,1,3,"('back', 'RB')",RB,back,back
1,5,3,1,4,"('no', 'DT')",DT,no,no
1,5,3,1,5,"('more', 'RBR')",RBR,more,more
1,5,4,0,0,"('Then', 'RB')",RB,Then,then
1,5,4,0,1,"('a', 'DT')",DT,a,a
1,5,4,0,2,"('silence', 'NN')",NN,silence,silence
1,5,4,0,3,"('suffuses', 'VBZ')",VBZ,suffuses,suffuses
1,5,4,0,4,"('the', 'DT')",DT,the,the
1,5,4,0,5,"('story', 'NN')",NN,story,story
1,5,4,0,7,"('And', 'CC')",CC,And,and
1,5,4,0,8,"('a', 'DT')",DT,a,a
1,5,4,0,9,"('softness', 'NN')",NN,softness,softness
1,5,4,0,10,"('the', 'DT')",DT,the,the
1,5,4,0,11,"('teller', 'NN')",NN,teller,teller
1,5,4,0,13,"('eye', 'NN')",NN,eye,eye
1,5,4,0,15,"('And', 'CC')",CC,And,and
1,5,4,0,16,"('the', 'DT')",DT,the,the
1,5,4,0,17,"('children', 'NNS')",NNS,children,children
1,5,4,0,18,"('no', 'DT')",DT,no,no
1,5,4,0,19,"('further', 'JJ')",JJ,further,further
1,5,4,0,20,"('question', 'NN')",NN,question,question
1,5,4,0,22,"('And', 'CC')",CC,And,and
1,5,4,0,23,"('only', 'RB')",RB,only,only
1,5,4,0,24,"('the', 'DT')",DT,the,the
1,5,4,0,25,"('waves', 'NNS')",NNS,waves,waves
1,5,4,0,26,"('reply', 'VBP')",VBP,reply,reply
1,6,1,0,0,"('If', 'IN')",IN,If,if
1,6,1,0,1,"('I', 'PRP')",PRP,I,i
1,6,1,0,2,"('can', 'MD')",MD,can,can
1,6,1,0,3,"('stop', 'VB')",VB,stop,stop
1,6,1,0,4,"('one', 'CD')",CD,one,one
1,6,1,0,5,"('heart', 'NN')",NN,heart,heart
1,6,1,0,6,"('from', 'IN')",IN,from,from
1,6,1,0,7,"('breaking', 'VBG')",VBG,breaking,breaking
1,6,1,0,9,"('I', 'PRP')",PRP,I,i
1,6,1,0,10,"('shall', 'MD')",MD,shall,shall
1,6,1,0,11,"('not', 'RB')",RB,not,not
1,6,1,0,12,"('live', 'VB')",VB,live,live
1,6,1,0,13,"('in', 'IN')",IN,in,in
1,6,1,0,14,"('vain', 'NN')",NN,vain,vain
1,6,1,0,16,"('If', 'IN')",IN,If,if
1,6,1,0,17,"('I', 'PRP')",PRP,I,i
1,6,1,0,18,"('can', 'MD')",MD,can,can
1,6,1,0,19,"('ease', 'VB')",VB,ease,ease
1,6,1,0,20,"('one', 'CD')",CD,one,one
1,6,1,0,21,"('life', 'NN')",NN,life,life
1,6,1,0,22,"('the', 'DT')",DT,the,the
1,6,1,0,23,"('aching', 'NN')",NN,aching,aching
1,6,1,0,25,"('Or', 'CC')",CC,Or,or
1,6,1,0,26,"('cool', 'VBP')",VBP,cool,cool
1,6,1,0,27,"('one', 'CD')",CD,one,one
1,6,1,0,28,"('pain', 'NN')",NN,pain,pain
1,6,1,0,30,"('Or', 'CC')",CC,Or,or
1,6,1,0,31,"('help', 'VB')",VB,help,help
1,6,1,0,32,"('one', 'CD')",CD,one,one
1,6,1,0,33,"('fainting', 'VBG')",VBG,fainting,fainting
1,6,1,0,34,"('robin', 'NN')",NN,robin,robin
1,6,1,0,35,"('Unto', 'NNP')",NNP,Unto,unto
1,6,1,0,36,"('his', 'PRP$')",PRP$,his,his
1,6,1,0,37,"('nest', 'JJS')",JJS,nest,nest
1,6,1,0,38,"('again', 'RB')",RB,again,again
1,6,1,0,40,"('I', 'PRP')",PRP,I,i
1,6,1,0,41,"('shall', 'MD')",MD,shall,shall
1,6,1,0,42,"('not', 'RB')",RB,not,not
1,6,1,0,43,"('live', 'VB')",VB,live,live
1,6,1,0,44,"('in', 'IN')",IN,in,in
1,6,1,0,45,"('vain', 'NN')",NN,vain,vain
1,7,1,0,0,"('Within', 'IN')",IN,Within,within
1,7,1,0,1,"('my', 'PRP$')",PRP$,my,my
1,7,1,0,2,"('reach', 'NN')",NN,reach,reach
