term_id,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,term_str
12,0.021370087772126387,-0.006761427656884946,0.0034451416259512705,0.0024676373338450297,0.03374730976803034,-0.031300276143777006,0.018384240324621798,-0.006476787899972455,0.023811308820148636,0.0019277039728391463,above
13,-0.005177968796499443,-0.000740456232955871,-0.0037954946368972033,-0.041489612113676855,-0.012550982110272908,0.013082588638735071,0.004945412653627981,0.01470135891567707,-0.007524526054997954,0.030426315445340524,abroad
14,-0.0012842409047172385,-0.0009484646685692282,0.002343930380009963,-0.0007850673598773228,-0.0030550616322986,0.0008076912573816153,0.0035101925141255283,-9.183141643825943e-05,-0.0002903264724265914,0.002916668952195778,abrogate
15,-0.0015302495037419295,-0.001624803721161482,-0.0017832834560133695,0.013657352500422104,0.014045752108075904,-0.027439927075739015,-0.01093363873896254,0.011718840547965959,0.004305650957189752,0.004204863375921422,absolute
16,-0.0009765146689042481,-0.001882763258206068,0.0004982731386050006,-0.003187585323326192,-0.006407533749897776,-0.011127484735654836,0.006645043995322869,0.014404279495252983,-0.0076095096219133355,-0.018756798297209366,absorb
17,-0.0007144119405907425,-0.0006138017557560195,-0.0043052120750063936,0.011742016975404335,0.00990477214231067,0.002639086479928998,0.007679962111567351,-0.007564579808655762,-0.006375272297070661,0.002391608646767865,abstemiousness
18,-0.0010739237197027894,-0.0003600569206493622,-0.00890483749789092,0.0036972082695981845,0.014072229781857959,0.0016236988086747728,0.006092246710088189,0.0014412991578566237,0.003299817013285203,0.0027859132186106236,abstinence
19,0.010537216458280693,-0.002312553711926489,0.004846030263896221,-0.010445118075947862,-0.01117281377405846,-0.02026885163011727,-0.0033322945316728303,-0.00691823168983316,0.0033811419250534824,-0.013744145215032397,abundant
20,-0.002409614107130013,-0.002276315039013919,0.0015358511084069505,-0.0029827700628751383,0.008134484112073945,0.0016069438932597158,0.008024410676286453,-0.006054484728771625,-0.010806753854649688,-0.016410883966940036,abyss
21,-0.0010820483140673055,-0.00040577237163754614,-0.009706708976243114,0.0026668843265735542,0.013202602894972465,-0.0103137899735892,0.008297338777568664,-0.0068538392344073,-0.01096160845502047,0.009199200399962859,accent
22,0.0036354749703678075,0.0030316798444851517,0.016285981902386153,-0.006969421211735048,0.0007328575332258142,-0.0013457629337741694,0.0017604797166443364,-0.004493630860921034,0.006969630161588081,0.0019380671269456154,accented
23,0.00015598664860441813,-0.001423181050753272,0.0020586144150475006,0.013957931346926385,0.01826788188219469,0.011573882908999689,-0.006671166196482781,-0.0036837660895804036,-0.006354667416616971,-0.001233666463939926,accept
24,-0.0032044403311117433,-0.00287274173050189,0.002312734099192358,0.007264690822334424,0.0024246295539155464,0.005099551413879577,0.006123856569512254,-0.015336218913569621,0.02125011952354698,-0.0042107414995202885,accessible
25,2.7472507570084813e-05,-7.132790867466905e-05,-0.008625191981417639,0.0009385879933431836,0.007042944849062053,-0.004161170852191386,-0.00847979193165066,0.009958997172375306,0.015331159321455593,-0.016606076040017334,accident
26,-0.001010151430555483,-0.0003387442061946431,-0.008926674197541954,-0.009877555128023435,0.0055796298802349336,0.00026236707253821795,0.0048030117959868,-0.01438327383577187,0.0016856489944860262,-0.006160967157703576,accidental
